content#,#sentiment#,#positive#,#negative#,#label
高雄市長補選將在8月15日登場，國民黨派出高雄市議員李眉蓁參戰，讓不少人表示「出乎意料」。外界也關注前高雄市長韓國瑜，是否將回到高雄為國民黨輔選，李眉蓁雖然在一開始明確表示「一定會」，卻又隨即改口「韓國瑜太辛苦，應該先讓他休息」。對此，「挺韓五虎將」之一陳清茂則認為，韓國瑜在高雄仍有70萬票以上的實力，國民黨雖然會與韓國瑜保持距離，但不至於到「切割」的程度。高雄市長補選將在8月15日登場，民進黨、國民黨、民眾黨分別派出前行政院副院長陳其邁、高雄市議員李眉蓁、吳益政參選，形成「三強鼎立」的戰局。由於韓國瑜在高雄仍有不少支持群眾，外界好奇國民黨是否會把韓國瑜找回高雄協助輔選，李眉蓁雖然在一開始明確表示「一定會」，相隔一天卻又改口「韓國瑜太辛苦，應該先讓他休息一下」。對於國民黨在高雄市長補選的布局，國民黨前組發會主委張雅屏表示，韓國瑜在補選中扮演輔選的關鍵角色，因為韓國瑜「有望催出30至40萬票」，只要國民黨推出好人選，加上韓國瑜的輔選，國民黨在高雄還有一拼的機會。不過，陳清茂認為不僅如此，他受訪時指出，韓國瑜當年以89萬票當選高雄市長，今年總統大選在高雄拿到61萬票，就算在罷韓投票當中以近94萬票遭到罷免，韓國瑜在高雄仍有70萬票以上的實力，並非外界所說的30至40萬票而已。至於國民黨是否會切割韓國瑜？陳清茂則認為，國民黨會和韓國瑜保持一定距離，但應該還不至於到「切割」的程度。#,#3.822284710963686e-10#,#0#,#4#,#負面
中央流行疫情指揮中心24日表示，日官方通報一名20多歲日本女學生，於機場入境時被檢驗出新冠肺炎陽性確診，震撼全國。這也讓前高雄市心聞局長鄭照新感嘆，現在許多專家要求我國有必要時行普篩，對照前高雄市長韓國瑜提出抗體篩檢補助，卻被民進黨轟是恐嚇市民，請問現在那些市議員去哪裡了？鄭照新在臉書發文表示，如同他之前所述，主觀的情緒會遠離，客觀的數字會留下，當時的韓國瑜市長，為了體恤第一線醫護人員需求，主動提出提供抗體篩檢補助，被諷刺是「封城秀急」，大量網軍不斷抹黑韓市長要「普篩恐嚇市民」鄭照新感嘆，這些民進黨團的議員們（其實不只），（歡迎大家幫忙google當時是那幾位，更歡迎大家把這篇報導直接貼去詢問這些議員說法，給高雄一個交代），一個個說擴大篩檢的不對，如今專家們振振有詞說曾經提議小型普篩，議員們都到那裡去了？覺青呢？愛高雄的we care呢？鄭照新強調，「謊言經不起時間的考驗，公道終將來臨」！#,#1.4825882499458487e-07#,#0#,#3#,#負面
本次高雄市長補選已確立「三強鼎立」態勢，相對於民進黨候選人陳其邁，國民黨候選人李眉蓁的參選，連前高雄縣長楊秋興都坦言「出乎意料」，因此前高雄市長韓國瑜在補選中的角色也引起關注，日前外傳韓國瑜能催出30至40萬票，對此，「挺韓五虎將」之一的陳清茂則認為，韓國瑜在高雄仍有70萬票以上的實力。對於國民黨在本次高雄市長補選的布局，國民黨前組發會主委張雅屏認為，韓國瑜在補選中扮演重要輔選的關鍵角色，因為韓國瑜有望催出30至40萬票，只要國民黨推出好人選，加上韓國瑜的輔選，國民黨在高雄還有一拼的機會。不過，陳清茂接受《中評社》採訪時表示，韓國瑜當年以89萬票當選高雄市長，今年總統大選在高雄拿到61萬票，而在罷韓投票被以近94萬票罷免，即使如此，韓國瑜在高雄仍有70萬票以上的實力，而非外界所說的30至40萬票而已。談到國民黨是否會切割韓國瑜？陳清茂則表示，國民黨內會和韓國瑜保持一定距離，但應該還不至於到切割的程度。相關新聞影音#,#0.8732147620978902#,#1#,#4#,#負面
高雄市已故議長許崑源，今(27日)舉行公祭儀式，不少藍綠政治人物都到場致意，前市長韓國瑜也和太太李佳芬到場。韓國瑜在靈堂內介紹許崑源生平時， 忍不住哽咽。他和太太一直待到告別式結束才離開會場，一路快步前往搭車，對於媒體提問，僅回答「謝謝」，不願意多談。高雄市議會議長許崑源於6月6日不幸身亡，震驚各界，他的遺體在24日火化，今（27）日舉辦公祭告別式，國民黨重量級人士也到場致意，包括前總統馬英九、國民黨主席江啟臣、前立法院長王金平、前新北市長朱立倫、前國民黨主席吳敦義、前國民黨主席洪秀柱等人，還有大量的韓粉團體自發性前來。與許崑源好交情的韓國瑜，在靈堂內介紹許崑源生平時，忍不住哽咽，表示「國瑜在這裡介紹，許崑源議長的生平，這是我莫大光榮，也是極大傷痛」，並細數與許崑源相處的過程和對自己的啟發，在其他人陸續離開公祭現場的同時，仍和太太李佳芬待在靈堂內，默默的送完許崑源最後一程。韓國瑜一直待到公祭結束才離開靈堂，他一路快步的往車隊移動，對於記者提問「是否會幫李眉蓁助選」、「有和李眉蓁談過了嗎？」、「九二共識」等問題，僅回應「謝謝」不願意多談。現場的支持者和韓粉大喊市長加油，韓國瑜甚至一度從車內站起，對支持者拱手感謝。相關新聞影音#,#0.8732147620978902#,#2#,#3#,#負面
再過不到兩個月，高雄市長就要進行補選，而各黨參選人也通通就定位，不過民眾黨提名的吳益政，卻遭起底曾是前立委邱毅的特助，還曾經偽造人頭詐領助理費遭判刑確定，爭議不斷。臉書粉專「迷因力量」就發文痛批，「一場只是想聯手騙票的結盟騙局，把高雄人當塑膠嗎？」「迷因力量」日前發文表示「當年有人帶職參選，柯文哲台民黨全力在酸都在靠北，今天吳益政帶職參選，柯家軍又可以無腦雙標全力相挺？」還說吳益政「曾經得到韓國瑜的全力站台，吳益政還開座談幫韓造勢，幫韓打造詐騙全高雄人的舞台。」對於民眾黨推吳益政補選高雄，甚至稱吳益政是三位參選人中最好的一位。「迷因力量」發文批評「當高雄人罷免了韓國瑜，台民黨又推出這個韓國瑜掛保證的，有案底的，帶職參選的，力挺台灣屬於中國的吳益政？高雄人你腦袋有這麼不好嗎？」「迷因力量」甚至問吳益政「另外台灣民眾黨有這麼不好嗎？你吳益政為何不退出親民黨？加入民眾黨？」該粉專認為這就是「一場只是想聯手騙票的結盟騙局，把高雄人當塑膠嗎？如果高雄迷失在選舉的造勢中，忘了自己好不容易擺脫惡夢，被一副認真問政的包裝樣子詐騙，只會得到另一個"更有料"的候選人。」#,#4.588556234974561e-08#,#0#,#4#,#負面
國道塞爆36小時引爆民怨，但沒想到交通部長林佳龍受訪竟表示，「聰明的用路人能趨吉避凶」。這讓資深媒體人陳揮文直言，國民黨和前高雄市長韓國瑜可以先休生養息，因為民進黨這樣自爆，還不愁不會重演2018年的慘況嗎！端午連假開始，民眾紛紛報復性出遊，造成國道爆塞36小時，引發民怨。未料，林佳龍25日察高速公路行控中心，受訪時被問到此事，竟說「聰明的用路人能趨吉避凶」，要大家選擇對的時間出門，不要自己去塞車，引發軒然大波。對此，陳揮文在政論節目《新聞面對面》上表示，國道五號24日晚上全都塞滿了，到25日早上，情況還是跟昨日差不多，塞到用路人叫苦連天，大家罵得要死。結果，大家知道林佳龍講什麼話嗎？林佳龍說，「我們要做一個聰明的用路人」。陳揮文表示，這是在幫誰拉票？陳其邁看到這個會吐血！所以他才建議國民黨跟韓國瑜要休生養息，不要做任何動作，民進黨它會自爆，民進黨會回到2016年勝選，然後2018年的慘況，他希望民進黨2022可以重演2018年的狀況 。#,#0.0003943155777368368#,#0#,#4#,#負面
墜樓身亡的高雄市議長許崑源，今（27）日上午舉辦告別式，國民黨大咖，包括前總統馬英九、前現任黨主席江啟臣、吳敦義、朱立倫，以及王金平和前高雄市長韓國瑜全部到齊，白狼張安樂也率眾出席。韓國瑜在告別式中提起三段故事感念許崑源，家屬也將許崑源辭世的6月6日成立慈善基金會，繼續他未完的遺願。高雄市議長許崑源週六上午舉辦告別式，趕著要去屏東輔選的柯文哲，一早就來致意，國民黨大咖也陸續抵達公祭現場，包括前總統馬英九，前現任黨主席江啟臣、吳敦義、朱立倫、洪秀柱，以及王金平等人全部到齊。中華統一促進黨總裁「白狼」張安樂也率領一群黑衣人現身。隨後與許崑源有革命情感的前高雄市長韓國瑜也和妻子李佳芬也到了，江啟臣率領祕書長為許崑源棺木覆蓋黨旗，頒贈國民黨實踐一等獎章，緬懷許崑源。告別式上，韓國瑜負責介紹亡者生平，談到2年多前與許崑源見面的第一印象。韓國瑜說，「我見到他的時候嚇一跳，這個台灣這麼有名的，人稱「奧源」的議長怎麼長得娃娃臉，已經60歲了，講話還很害羞。」許崑源的妻子林絲娛帶領著4個子女向各界表達感謝，以成立慈善基金會的方式，繼續完成許崑源的遺願。林絲娛說，「他對高雄的愛將延續永不停止，我們全體遺屬將傳承他的遺志。」會場內官蓋雲集，藍綠白政治人物都到場致意，場外也聚集大批民眾來送許議長最後一程。享壽63歲的許崑源是高雄苓雅區在地人，從小在市場、廟宇長大，有著海派個性，1994年以無黨籍身分當選高雄市議員，2008年馬英九勝選後加入國民黨，是七連霸議員、兩屆議長。許崑源曾公開飆罵陳菊90秒，議事廳裏大戰綠營，作勢潑水、拍桌，問政風格鮮明，卻也爭議不少，2003年兒子製偽鈔販毒被逮，捲入風波，也因為議長朱安雄賄選案陷入官司最後判無罪，如今風風雨雨的一生，都將隨著長眠佛光山蓋棺論定。（民視新聞／阿布斯、廖錦雄、鄭兆佐 高雄市報導）#,#0.4373044886830493#,#8#,#2#,#正面
高雄市議長許崑源告別式今（27）日於市立殯儀館舉行，前高雄市長韓國瑜前往弔唁，介紹議長生平事略，坦承他感到莫大光榮也是極大的傷痛，以3段故事，細數與許崑源相識的點點滴滴。韓國瑜今日在許崑源告別式上面色凝重，強忍悲傷回憶自己在2年多前奉命接任國民黨高雄市黨部主委，當時許崑源議長立刻找他見面吃飯聊天，他第一眼見到議長時嚇一跳，覺得台灣這麼有名、人稱「奧援」的議長，怎麼長得娃娃臉？已經60歲了，講話還很害羞，而且每次講話笑一笑還有酒渦，「這不就是大家公認最重義氣、交友最廣闊、有朋友一定相挺到底的奧援議長嗎？」看起來非常良善，外型又如此俊俏瀟灑的一個議長，讓他感到相當驚訝。當時住在黨部的韓國瑜，吃得很簡單，許議長為了保留他的面子，時常藉機邀請韓國瑜去吃飯，「但是我很清楚，他怕我營養不良。」他表示每次吃完飯兩人都會聊天，某日晚上9時，坐在許議長最喜歡的餐廳門口，整整30分鐘沒有一台車輛經過，當時許崑源感嘆「咱高雄哪會變得安呢（我們高雄怎麼會變成這樣）？」從這些方面點點滴滴，可以觀察得到許崑源議長對高雄的發展充滿著憂心跟關切。韓國瑜接著提到，某日原住民議員從山上特來向許崑源議長致謝，表示前2年山區颱風、下大雨，很多經濟不好的原住民朋友損失慘重，結果議長直接告訴這名原住民議員，「你到百貨賣場，你原鄉的族人同胞需要什麼，你盡量拿，拿了之後我會去結帳！」原住民的議員當場感謝地眼淚都掉下來。「這個是我介紹許議長的生平事略」，韓國瑜希望以簡單的3個真實小故事，讓大家更了解許崑源議長對身邊人的義氣，不僅是為朋友著想，遇到當仁不讓的事情時充滿正氣，遇到不公不義的事情充滿著霸氣，對高雄未來的發展充滿著關切的正氣，「這就是許崑源議長真實人生的寫照。」看節目、買美食、拿好康，百張住宿券免費抽！快點我下載食尚玩家APP！今日推薦影音#,#0.14383481557391686#,#2#,#5#,#負面
高雄市已故議長許崑源上午舉辦告別式，由前市長韓國瑜代表介紹他的生平，而國民黨歷任黨主席馬英九、吳敦義，洪秀柱和朱立倫也全都到場，為人海派的許崑源，白狼張安樂也率百名黑衣人到場，黑白兩道齊聚，送許崑源最後一程。高市已故議長許崑源27日上午舉行告別式，生前好友、前高雄市長韓國瑜帶著前市府團隊上香致意。前高雄市長韓國瑜：「今天國瑜在這裡來介紹我們許崑源議長的生平事略，是我莫大的光榮，也是極大的傷痛。」用12分鐘講述許崑源生前對於高雄的憂心和關心，告別式外頭，有好幾輛的黑頭車，載著黨內大老出場，國民黨歷任黨主席和黨內大咖也幾乎全都到齊。前總統馬英九：「跟他差不多有20年的朋友了，從我當台北市長之後 當黨主席都很多的聯絡，看到他真的非常難過，他對我們黨對國家都有很大的貢獻。」前總統馬英九帶著墨鏡，現身靈堂，而前黨主席吳敦義，在告別式上數度紅了眼眶，歷任黨主席，朱立倫、洪秀柱也都出席，而現任黨主席江啟臣，則代表頒獎章證書，帶隊覆蓋黨旗，場面隆重哀戚。司儀：「覆旗。」許崑源辭世，平時交友廣闊的議長，不只黨內大老來相送，韓國瑜夫人李佳芬和韓家軍也穿著白衣前來致意，其中統一促進黨的黨主席張安樂，白狼也率領百人到場致意，場外也有不少黑衣人，黑白兩道齊聚一堂，也讓警局加派警力警戒。其中因為許崑源生前支持警消預算，就在告別式這天，高市17個分局分局長、偵查隊長也都前來送行，這場告別式估計有上千人到場參加，送許崑源最後一程。今日推薦影音#,#0.14383481557391686#,#8#,#2#,#正面
高雄市 / 黃昱賦 許利森 許文男 報導高雄市已故議長許崑源的告別式今(27)日舉行，國民黨大老馬英久、吳敦義、朱立倫、王金平等人都南下高雄出席，生前好友高雄市前市長韓國瑜率領前市府團隊致意，介紹許崑源生平，韓國瑜以莫大光榮和極大傷痛來形容他的心情。高雄市前市長韓國瑜說：「今天國瑜在這裡來介紹，我們許崑源議長的生平事略。」許久不見的高雄市長韓國瑜現身媒體鏡頭前，介紹高雄已故議長許崑源生平，要來送他的摯友最後一程，高雄市前市長韓國瑜說：「以高雄市的建設為優先，政黨色彩擺旁邊這一份堅持，讓我們許崑源議長，在高雄贏得了口碑贏得了無愧於心。」許崑源夫人林絲娛說：「陪伴崑源最後一程。」感念丈夫，許崑源遺孀台上哽咽，不只韓國瑜，藍營大咖馬英九、王金平，吳敦義、朱立倫、洪秀柱，還有江啓臣，國民黨前任及現任黨魁共五人，都前來致意。高雄市議會的議員們，也由副議長陸淑美率領，要來送老同事人生的最後一程，台北市長柯文哲也現身告別式場合，覆蓋黨旗，莊嚴隆重，政治要角齊聚告別式，感念許崑源。原始連結#,#0.37632755399954265#,#3#,#1#,#正面
高雄市前議長許崑源27日上午出殯，政商界群聚高市殯儀館景行廳為其送行。韓國瑜特地上台闡述許崑源一生貢獻及故事，國民黨主席江啟臣也率眾替許崑源骨灰覆上黨旗。前總統馬英九、前黨主席吳伯雄、朱立倫及前立法院長王金平等人也到場致意。而高雄市長補選將在一個多月後舉行，外界都關心在地大老，王金平的輔選動向，王今日受訪時回應表示，李眉蓁是很適合的人選，而是否會出面為她輔選，王金平神秘的表示，「身為黨員應該會吧」，並沒有把話說死。#,#4.127449970692254e-08#,#1#,#1#,#負面
韓粉提出黃捷罷免案，雖然網路上有系統宣傳資訊，但地方藍營沒有認真動員，即便要投票，通過機會不高。（圖片來源／信傳媒編輯部）前高雄市長韓國瑜罷免案通過後，他的支持者掀起一波「報復性」罷免行動，時代力量高雄市議員黃捷就是目標之一。根據選罷法規定，罷免第一階段連署門檻為選舉人口的1％，從鳳山約29萬的選民估算，罷捷案需要超過2900份；二階連署則為10%，大約是2萬9千多份，而「鳳山罷捷總部」統計，罷捷連署書數量已突破2.1萬份。罷捷網路系統性宣傳，地方藍營沒認真動員原先外界對於韓粉提出的「報復性」罷免嗤之以鼻，但黃捷所屬的鳳山區內，涵蓋不少眷村，韓國瑜市長、總統選舉在鳳山表現都不差，不禁讓支持者為黃捷捏一把冷案，尤其罷捷連署書份量一直上升，直逼二階門檻。據觀察，罷捷行動在網路上的動員有一定規模，會系統性宣傳，將同樣的資訊大量轉發到相關粉專、社團當中，也就是說，網軍有在動。另外，「鳳山清潔隊」在發行周邊產品上也不留餘力，推出絲帶、垃圾袋等小物，預計近期也會走上街頭，加強宣傳。雖然罷捷團體積極運作中，但地方人士觀察到，國民黨在地組織並沒有認真介入，所以罷捷行動的能量相當有限，目前只有幾位里長幫忙設置連署書站，國民黨在鳳山的4席議員，動作都不大。二階連署可能過關，同意票要7萬機率不高在藍營沒有認真投入罷捷行動的情況下，時力並未嗅到「危機感」，黨主席徐永明指出，一階連署的門檻不高，要通過不難，但就時力立場而言，「我們對黃捷有信心」。黃捷本人則對罷免案態度低調，僅表達尊重，她說目前自己的工作就是把該做的事情做好做滿，剩下的就交給鳳山選民做決定，黃捷表示，她知道這個位置絕對不能戀棧，若市民覺得她做不好，自己勢必要接受投票結果。根據黨內人士評估，罷捷第二階段連署，其實不是不可能通過，但若進入第三階投票，要達到門檻的機會不大。重點在於投票率，因為至少要有4分之1的選民投下同意罷免票，大約要7萬多張，若沒有政黨全力動員，不容易達成；換句話說，時力不認為黃捷會被罷免。黨中央不反對，黃捷加入陳其邁競選助於罷捷案？雖然預估罷捷通過機率不高，但仍有人向黃捷建議，這段期間先低調行事，若加入民進黨高雄市長補選候選人陳其邁競選團隊，可能會激怒韓粉，應避免相關安排。不過，也有人指出，黃捷一向針對市政發言，不會有情緒性的批判，也沒有刷仇恨值的言論，即便輔選陳其邁，也不會出現激起對立的行為。徐永明表示，黨中央不會反對個別議員幫忙陳其邁競選，將全盤交給地方黨部協調。徐永明強調，雖然時力不會以黨的立場參與高雄市長選戰，但若綠營想要「借將」，黨中央是樂觀其成，只不過合作窗口不會黨對黨。雖然陳其邁日前公布的競選團隊名單，並未納入黃捷，但黃捷表示，「現在都還是有一個保留的彈性跟空間」，對高雄市政、民主有益的合作，她都不排斥。黃捷在年輕族群中相當受歡迎，絕對是陳其邁想招攬的人才，未來可能視綠營時程上的佈局與安排，再公布黃捷將在選戰中扮演什麼角色。#,#0.01389981908267679#,#1#,#14#,#負面
前高雄市長韓國瑜遭高票罷免去職，市長補選將於8月15日登場，國民黨徵召市議員李眉蓁投入選戰，引發外界討論。對此，草協聯盟發起人李正皓認為，李眉蓁如今能代表藍營參選市長，和她父親、高雄市果菜公司總經理李榮宗的「正韓軍」身分有關。李正皓在談話節目《前進新台灣》中表示，韓家軍有分「正韓軍」和「蹭韓軍」，蹭韓軍是指韓流已經起來了，一堆議員開始圍繞在韓國瑜旁邊，幫韓國瑜講話，收割韓國瑜的聲量。而李正皓認為，李眉蓁自己本身的特色不明顯，但其父李榮宗是真正的「正韓軍」，李正皓舉例，韓國瑜還在落魄時的三山造勢，是農漁民系統在挺韓國瑜，而那時的高雄市果菜公司總經理就是李榮宗，之後韓國瑜剛上任夜宿果菜市場，就是睡在李榮宗辦公室，而且李榮宗還是主動把辦公室讓給韓國瑜。李正皓表示，韓國瑜三山造勢那時，是農漁民系統在挺韓國瑜，而當時高雄市果菜公司總經理就是李榮宗。（資料照，顏麟宇攝）李正皓接著指出，去年8月韓國瑜剛被提名，大甲鎮瀾宮董事長顏清標當時帶著一大票台中市議員到高雄幫他加油，而其中的30分鐘密室會談裡，台中方代表為顏清標、前台中市議長張清堂及前立委顏寬恒，而高雄方的代表就包含韓國瑜、前立委林國正以及李榮宗，李正皓強調，李眉蓁今天可以雀屏中選，和她本人一點關係都沒有。李正皓認為，國民黨在高雄市長補選這盤棋，最後還是向韓國瑜的勢力投降，分析國民黨主席江啟臣一定知道要在這場選舉和韓國瑜劃清界線，但考量種種因素，江還是跟韓國瑜勢力投降妥協。李正皓也說，國民黨中央面對高雄的韓國瑜勢力時，只能飲鴆止渴，但之後卻讓國民黨在高雄繼續被討厭。李正皓也預言，國民黨選擇向韓國瑜勢力投降之後，補選票數雖然不會差，但民進黨參選人陳其邁的票數會因此更好。#,#8.711193234367531e-05#,#0#,#7#,#負面
高雄市前議長許崑源今天上午出殯，黨政商界群聚高市殯儀館景行廳為其送行，備極哀榮。前高雄市長韓國瑜在告別式中上台闡述許崑源一生貢獻及故事，國民黨主席江啟臣也率眾替許崑源骨灰覆上黨旗，他在受訪時表示，許議長遺願希望高雄更好，接下來的市長補選，國民黨最重要的是團結一致、全力衝刺，不要辜負許議長對國民黨的心願，也不能讓議長白白的犧牲。不少藍營大老今天都出席許崑源的告別式，包括前總統馬英九、立法院前院長王金平、國民黨前主席吳敦義、新北市前市長朱立倫、前立委洪秀柱等人，都到場。另外，高雄市長補選的藍綠白陣營候選人也都到場致意。韓國瑜在告別式中應邀上台，細數許崑源生前事蹟，強調許生前對朋友充滿義氣，遇到不合理的事情充滿霸氣，對於高雄未來的發展充滿正氣。韓國瑜還用「蒼天不忍，嗚呼哀哉！」形容他此刻的心情，韓國瑜說，許崑源生日是勞工節，註定他為市民勞碌的一生。生於高雄，亡於高雄，許崑源終其一生都沒有離開高雄。許崑源雖然被外人稱作「霸氣議長」，但始終笑罵由人，服務、問政霸氣以人民福祉、關懷弱勢為優先，值得台灣政治人物謹記在心。此外，許崑源從無黨籍到國民黨籍，從議員到議長，監督市政以高雄市民權益、建設為優先，政黨顏色永擺旁邊，堅持替他贏得人心，也在高雄的土地上寫下傳奇，包括挽救高雄捷運停駛危機、揭發楠梓污水廠弊案、慶富案真相、氣爆案弊案等等，都令人印象深刻。許崑源遺孀林絲娛表示，將成立「許崑源安心基金會」關懷弱勢，永續許崑源對社會的關愛，也呼籲社會大眾加入行善的行列，公祭典禮上也率先捐給5個社福單位、每家10萬元。公祭結束後，靈車將送許崑源的骨灰前往佛光山安置，途中會特地遶行至市議會，議會全體員工及藍綠議員也夾道送議長最後一程。江啟臣受訪時則表示，由於市長補選時間緊迫，將趁今日南下機會與國民黨候選人李眉蓁交換意見，現在是分秒必爭。李眉蓁受訪時也表示，大家今天都到高雄看議長，會抓緊時間討論組織團隊，大概下週團隊成員就會到齊，立即就位打選戰。看更多 CTWANT 文章有片／孫安佐操爆老媽：累到不要不要！ 58歲狄鶯「少女級身材」現形丈夫爽吃母女丼！與親媽「房內激情SOD」不顧她在客廳 女星崩潰曝近況死不肯上岸！澎湖「摩西分海」民眾冒死下水 網：屍骨多了就有路#,#0.7313619127836581#,#4#,#3#,#正面
前行政院副院長陳其邁投入高雄市長補選，引發關注！國民黨陣營狂打陳其邁父親陳哲男涉及相關案件，民進黨黨部主委趙天麟批藍「能好好談談對高雄的擘畫與理想嗎？」他說，即便是重申愛情摩天輪或太平島挖石油，也比人身攻擊高明，高雄人值得更好的對待。對此，自由作家洛杉基怒批雙標到無下限，讓人瞠目結舌！面對8月15日的高雄市長補選，趙天麟日前表示，民進黨高雄市黨部超前部署，推出最強陣容結合陳其邁原有的高雄各區組織專員納編入黨務系統，成為最強輔選戰隊。針對藍營狂打陳其邁父親陳哲男涉及相關案件，趙天麟也回嗆，國民黨看待高雄市長補選，真的只剩下人身攻擊、批評謾罵的負面選舉，而不願提出未來願景，還是根本無法提出？趙天麟說國民黨中常會時間還會在高雄開嗎？能好好談談對高雄的擘畫與理想嗎？對此，洛杉基在臉書表示，過去兩年，綠營持續不斷攻擊韓國瑜是草包、綠市議員要求他下台時，怎麼就做不到「好好談對高雄的理想」，為何只會做人身攻擊？對於趙天麟言論，洛杉基批，這些政客的厚顏無恥，雙標到無下限，還真讓人瞠目結舌！#,#2.774441745567735e-06#,#1#,#2#,#負面
前年韓國瑜選贏高雄市長，蔡英文表示，韓國瑜靠的是民粹；今年六月六日罷韓成功，蔡英文高興地說：「台灣民主向前走了一步。」原來民主是民進黨說了算，他們贏就叫民主，輸就搗蛋翻桌。六月十二日，中選會公告：「罷免即起生效，八月十五日補選，六月二十至二十四日受理登記。」六月十七日上午，行政院長蘇貞昌批准副院長陳其邁的辭呈，下午民進黨中常會通過提名，一切水到渠成，只等國民黨的脖子伸過來，引頸就戮。小英政府與民進黨絲絲入扣的搭配，令人作嘔，但兵貴神速，蔡英文的作法倒也理所當然。反觀國民黨，看似只能坐以待斃，其實尚有可為，關鍵在韓國瑜身上。罷免後應在三個月內改選，投票日訂在八月十五日，是為了方便學生暑假返鄉投票，因為青年選票是罷韓成功的關鍵。雖說韓國瑜已表示不提「罷免無效」的訴訟，但國民黨應動用黨紀，命令韓國瑜提訟，好為黨爭取更多時間，打亂民進黨布局，畢竟俗話說「亂拳打死老師父」。《選罷法》規定，被罷免人可提出的救濟有兩種，分別是一一八條的「罷免無效」及一二四條的「罷免案通過無效」。前者被告是市選委會，應在公告後十五天內提出；後者被告是罷免團體，須在公告三十天內提出，這是韓國瑜該引用的條文（最晚應在七月十一日提出），因罷免團體在韓國瑜一當選就開始連署，違反任期滿一年後始得罷免的規定。選罷官司是二審定讞，更規定一個審期須在半年內完成，當韓國瑜提出後，法院將命令中選會撤公告，等二審判決後再重新公告。否則補選新市長出爐，韓國瑜卻打贏官司，市長豈非要鬧雙胞？這時，已成立競選總部的民進黨進退維谷，辭官的陳其邁流浪街頭，罷韓團體及準備班師回朝的接收團隊，徒呼負負，最後師老兵疲，迎接藍軍以逸待勞的戰將。放眼藍白陣營設籍高雄滿四個月者，實力都與陳其邁相去甚遠，韓國瑜提訟爭取到的時間，可讓藍營方便徵召更適合的人選（也方便遷戶口）。老實說，現在表態者，多是為下回選立委試水溫，國民黨提名他們，等於讓民進黨在高雄繼續執政三十年，變為世襲。國民黨如放棄高雄的補選之戰，那就等著被大家放棄吧！看更多 CTWANT 文章王之道／蔡政府濫用金融國家隊泰公開講／劉泰英：罷韓給政治人物的啟示王之道／美國保護傘是迷幻藥#,#0.9981374412176067#,#3#,#8#,#負面
高雄市前議長許崑源的告別式上午舉行，藍綠兩邊政要都到場致祭，前高雄市長韓國瑜也率前市府團隊到場，韓家軍號召支持者穿白衣來給許議長送行，高雄市17個警分局分局長及偵查隊長也都到場鞠躬、場面哀榮。國民黨特別由黨主席江啟臣等五人，為靈柩覆蓋國民黨旗並頒發獎章證書表彰他的貢獻。韓國瑜在致詞時，介紹了好友許崑源的生平，讚他對高雄的貢獻，無愧於生養之地。許崑源遺體已經24日火化，上午在高市殯儀館景行廳舉行告別式，政壇人士包括前總統馬英九、立法院前院長王金平、新國民黨主席朱立倫、洪秀柱、吳敦義都到場，台北市長柯文哲一大早也由民眾黨參選人吳益政等人陪同，到會場捻香向家屬致意，就連統促黨總裁張安樂也出席送他最後一程。綠營人士方面民進黨高雄市黨部主委趙天麟也到告別式會場致祭。今日推薦影音#,#0.14383481557391686#,#2#,#3#,#負面
